STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WT09
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",24/5/15,5.82,,0.05,0,0,64,79,45,210,220,16.1,21,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",25/5/15,8.05,,0.85,0,0,63,79,53,220,230,21.9,30,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",26/5/15,10.07,,0.5,0,0,74,86,63,180,190,23,28,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",27/5/15,11.41,,0,0,0,69,76,56,220,250,25.9,35.1,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",28/5/15,5.14,,0,0,0,63,76,50,100,110,14.1,17,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",29/5/15,6.93,,0.19,0,0,66,84,53,190,190,23,29.1,1,,1,,,1,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",30/5/15,9.84,,0.29,0,0,61,68,45,340,340,19.9,25.1,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",31/5/15,9.62,,0,0,0,49,56,36,50,30,18.1,23,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",1/6/15,4.25,,0,0,0,51,64,35,20,10,14.1,19.9,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",2/6/15,5.37,,0,0,0,53,68,35,130,130,17,21.9,,,,,,1,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",3/6/15,7.38,,0,0,0,57,73,38,130,140,18.1,25.9,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",4/6/15,4.92,,0,0,0,60,75,44,110,120,16.1,19.9,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",5/6/15,9.4,,0.02,0,0,62,68,48,10,10,21,25.1,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",6/6/15,7.61,,0,0,0,53,62,36,100,110,17,21.9,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",7/6/15,7.38,,0.31,0,0,52,70,37,170,190,17,23,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",8/6/15,4.47,,0.05,0,0,64,74,55,130,330,14.1,18.1,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",9/6/15,4.92,,0,0,0,63,78,53,120,120,15,18.1,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",10/6/15,8.72,,0.25,0,0,66,78,53,320,330,21,31.1,1,,1,,,1,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",11/6/15,4.7,,0,0,0,62,72,52,350,320,15,19,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",12/6/15,4.03,,0.72,0,0,58,66,49,10,360,13,16.1,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",13/6/15,5.14,,0,0,0,57,68,45,110,130,14.1,17,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",14/6/15,4.25,,0.65,0,0,62,73,57,130,120,12.1,14.1,1,1,1,,,1,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",15/6/15,3.58,,0,0,0,67,76,62,100,90,13,17,1,1,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",16/6/15,8.5,,0,0,0,66,75,54,350,310,17,23.9,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",17/6/15,4.7,,0,0,0,61,73,50,120,130,13,16.1,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",18/6/15,7.83,,0.01,0,0,65,80,54,350,340,21.9,28,1,,,,,1,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",19/6/15,5.82,,0,0,0,58,66,40,140,150,13,19,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",20/6/15,6.49,,0,0,0,55,74,38,110,110,15,19.9,1,,,,,1,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",21/6/15,4.92,,0,0,0,64,79,53,130,320,13,16.1,1,,,,,,
